caldt,5yUSTreasuryBond,1yUSTreasuryBond,90dUSBills,USInflation
20150227,-0.014879,-0.000415,-0.000005,0.004343
20150331,0.008815,0.000509,-0.000023,0.005952
20150430,-0.001265,0.000592,0.00008,0.002033
20150529,-0.000934,0.000272,0.000038,0.005097
20150630,-0.005355,-0.000054,0.000029,0.003503
20150731,0.007164,0.000121,0.000006,0.000067
20150831,0.000371,0.000064,0.000136,-0.001416
20150930,0.012089,0.001163,0.000022,-0.001557
20151030,-0.005626,-0.000404,-0.000129,-0.00045
20151130,-0.004427,-0.001749,0.000089,-0.002111
20151231,-0.002052,0.000003,0.000249,-0.003417
20160129,0.022615,0.002525,-0.000057,0.001653
20160229,0.006527,0.000392,0.000341,0.000823
20160331,0.00365,0.001369,0.000474,0.004306
20160429,-0.003028,0.000666,0.000254,0.004741
20160531,-0.001997,-0.000395,0.000155,0.004046
20160630,0.020241,0.002989,0.000437,0.003284
20160729,-0.000004,-0.000439,0.000261,-0.001618
20160831,-0.007998,-0.000113,0.000269,0.000918
20160930,0.003735,0.000587,0.000562,0.002404
20161031,-0.006222,0.000553,0.000282,0.001247
20161130,-0.023927,-0.00102,0.000123,-0.001555
20161230,0.00009,0.000545,0.000437,0.000327
20170131,0.002885,0.001536,0.000476,0.005828
20170228,0.000809,0.000055,0.000352,0.003146
20170331,0.00322,0.000026,0.000384,0.000813
20170428,0.007231,0.000494,0.000617,0.002966
20170531,0.004701,0.00073,0.000588,0.000855
20170630,-0.003845,0.00032,0.000873,0.000907
20170731,0.004778,0.00166,0.000917,-0.00069
20170831,0.00776,0.001338,0.000978,0.002994
20170929,-0.008855,-0.000121,0.000802,0.005295
20171031,-0.001956,0.00023,0.000939,-0.000632
20171130,-0.003261,-0.000667,0.000951,0.000024
20171229,-0.000897,0.000146,0.000942,-0.000588
