PERMNO,date,TICKER,COMNAM,NAICS,CUSIP,PRC
59459,30/03/2007,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,51.77
59459,30/04/2007,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,54.1
59459,31/05/2007,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,54.17
59459,29/06/2007,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,53.5
59459,31/07/2007,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,50.78
59459,31/08/2007,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,50.54
59459,28/09/2007,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,50.34
59459,31/10/2007,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,52.21
59459,30/11/2007,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,53.11
59459,31/12/2007,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,53.8
59459,31/01/2008,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,48.1
59459,29/02/2008,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,46.41
59459,31/03/2008,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,47.85
59459,30/04/2008,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,50.4
59459,30/05/2008,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,49.81
59459,30/06/2008,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,43.4
59459,31/07/2008,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,44.12
59459,29/08/2008,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,44.16
59459,30/09/2008,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,45.2
59459,31/10/2008,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,42.55
59459,28/11/2008,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,43.65
59459,31/12/2008,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,45.2
59459,30/01/2009,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,38.64
59459,27/02/2009,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,36.15
59459,31/03/2009,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,40.64
59459,30/04/2009,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,41.14
59459,29/05/2009,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,40.66
59459,30/06/2009,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,41.04
59459,31/07/2009,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,43.07
59459,31/08/2009,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,50.42
59459,30/09/2009,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,49.23
59459,30/10/2009,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,49.79
59459,30/11/2009,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,52.39
59459,31/12/2009,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,49.86
59459,29/01/2010,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,50.67
59459,26/02/2010,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,52.59
59459,31/03/2010,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,53.94
59459,30/04/2010,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,50.74
59459,28/05/2010,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,49.47
59459,30/06/2010,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,49.25
59459,30/07/2010,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,50.45
59459,31/08/2010,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,48.99
59459,30/09/2010,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,52.1
59459,29/10/2010,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,55.2
59459,30/11/2010,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,53.99
59459,31/12/2010,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,55.71
59459,31/01/2011,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,56.26
59459,28/02/2011,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,59.93
